# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
 8.94468125E+00   -9.19118991E-01
 8.97620912E+00   -9.58893323E-01
 9.01317214E+00   -9.94504743E-01
 9.05553924E+00   -1.02545751E+00
 9.10319218E+00   -1.05127161E+00
 9.15592514E+00   -1.07149032E+00
 9.21344592E+00   -1.08568757E+00
 9.27537835E+00   -1.09347511E+00
 9.34126613E+00   -1.09450929E+00
 9.41057803E+00   -1.08849733E+00
 9.48271418E+00   -1.07520303E+00
 9.55701365E+00   -1.05445181E+00
 9.63276298E+00   -1.02613499E+00
 9.70920558E+00   -9.90213184E-01
 9.78555198E+00   -9.46718900E-01
 9.86099064E+00   -8.95758079E-01
 9.93469915E+00   -8.37510744E-01
 1.00058558E+01   -7.72230611E-01
 1.00736512E+01   -7.00243717E-01
 1.01372997E+01   -6.21946051E-01
 1.01960509E+01   -5.37800227E-01
 1.02492003E+01   -4.48331237E-01
 1.02960993E+01   -3.54121337E-01
 1.03361653E+01   -2.55804134E-01
 1.03688898E+01   -1.54057957E-01
 1.03938459E+01   -4.95986014E-02
 1.04106951E+01    5.68284512E-02
 1.04191919E+01    1.64456231E-01
 1.03862378E+01    2.43862873E-01
 1.03883127E+01    3.51736018E-01
 1.03818901E+01    4.59458342E-01
 1.03669723E+01    5.66246816E-01
 1.03436609E+01    6.71329353E-01
 1.03121564E+01    7.73953382E-01
 1.02727552E+01    8.73394149E-01
 1.02258459E+01    9.68962620E-01
 1.01719041E+01    1.06001287E+00
 1.01114860E+01    1.14594890E+00
 1.00452206E+01    1.22623066E+00
 9.97380132E+00    1.30037943E+00
 9.89797616E+00    1.36798218E+00
 9.81853764E+00    1.42869518E+00
 9.73631174E+00    1.48224649E+00
 9.65214667E+00    1.52843761E+00
 9.56690117E+00    1.56714401E+00
 9.48143287E+00    1.59831475E+00
 9.39658667E+00    1.62197105E+00
 9.31318341E+00    1.63820394E+00
 9.23200895E+00    1.64717101E+00
 9.15380387E+00    1.64909224E+00
 9.07925394E+00    1.64424517E+00
 9.00898143E+00    1.63295926E+00
 8.94353752E+00    1.61560973E+00
 8.88339578E+00    1.59261083E+00
